dist	sigma	ibd	ibdcorr	r
Gamma_2	1	0.43740201005	0.242896417129	2
Gamma_2	1	0.403055276382	0.197053452578	3
Gamma_2	1	0.377708542714	0.163171045193	4
Gamma_2	1	0.358497487437	0.137456858068	5
Gamma_2	1	0.342974874372	0.116344371263	6
Gamma_2	1	0.330422110553	0.0999605083613	7
Gamma_2	1	0.318899497487	0.0845417910693	8
Gamma_2	1	0.308748743719	0.0705974450342	9
Gamma_2	1	0.300537688442	0.0601106801176	10
Gamma_2	1	0.291929648241	0.0481721220307	11
Gamma_2	1	0.285095477387	0.0390105427736	12
Gamma_2	1	0.278728643216	0.0307583078152	13
Gamma_2	1	0.270984924623	0.0203727032579	14
Gamma_2	1	0.267417085427	0.015468545559	15
Gamma_2	1	0.261984924623	0.00799485175543	16
Gamma_2	1	0.257407035176	0.00204664828593	17
Gamma_2	1	0.253497487437	-0.00317177504439	18
Gamma_2	1	0.249145728643	-0.0087603099351	19
Gamma_2	1	0.244989949749	-0.0142665842747	20
Gamma_2	1	0.242592964824	-0.0174540348102	21
Gamma_2	1	0.23927638191	-0.0217847062216	22
Gamma_2	1	0.236829145729	-0.0250050127472	23
Gamma_2	1	0.233376884422	-0.0297670455265	24
Gamma_2	1	0.230909547739	-0.0330153406422	25
Gamma_2	1	0.227904522613	-0.0368734476412	26
Gamma_2	1	0.225050251256	-0.0409138330886	27
Gamma_2	1	0.222979899497	-0.0435348659679	28
Gamma_2	1	0.221045226131	-0.046292428958	29
Gamma_2	1	0.219331658291	-0.0484950745586	30
Gamma_2	1	0.216286432161	-0.0524708213765	31
Gamma_2	1	0.215236180905	-0.0541166426957	32
Gamma_2	1	0.213432160804	-0.0564830947761	33
Gamma_2	1	0.212809045226	-0.0571927035693	34
Gamma_2	1	0.210864321608	-0.0598697675204	35
Gamma_2	1	0.210804020101	-0.0598837716503	36
Gamma_2	1	0.210005025126	-0.0610070552145	37
Gamma_2	1	0.207512562814	-0.0642217438752	38
Gamma_2	1	0.207698492462	-0.0640532375215	39
Gamma_2	1	0.206492462312	-0.0655297691352	40
Gamma_2	1	0.204748743719	-0.0680575649348	41
Gamma_2	1	0.203653266332	-0.069629667715	42
Gamma_2	1	0.202809045226	-0.0708778423345	43
Gamma_2	1	0.201793969849	-0.072158783649	44
Gamma_2	1	0.200894472362	-0.0732665318937	45
Gamma_2	1	0.200195979899	-0.0739423882598	46
Gamma_2	1	0.200236180905	-0.0740237334237	47
Gamma_2	1	0.198582914573	-0.0764740322774	48
Gamma_2	1	0.199095477387	-0.0757102494621	49
Gamma_2	1	0.199879396985	-0.07426657387	50
Gamma_4	1	0.50651758794	0.338961173529	1
Gamma_4	1	0.460407035176	0.277592831903	2
Gamma_4	1	0.420105527638	0.223623035629	3
Gamma_4	1	0.391301507538	0.185265540399	4
Gamma_4	1	0.370733668342	0.157517390187	5
Gamma_4	1	0.35316080402	0.134228397136	6
Gamma_4	1	0.338698492462	0.115240072085	7
Gamma_4	1	0.32475879397	0.0966512652683	8
Gamma_4	1	0.313040201005	0.0812811585485	9
Gamma_4	1	0.304090452261	0.0695485696069	10
Gamma_4	1	0.294005025126	0.0557875593098	11
Gamma_4	1	0.285386934673	0.0442025551872	12
Gamma_4	1	0.279175879397	0.0359189868135	13
Gamma_4	1	0.27127638191	0.0253870327986	14
Gamma_4	1	0.264798994975	0.0166456063884	15
Gamma_4	1	0.259251256281	0.00941719169244	16
Gamma_4	1	0.252964824121	0.00119630619092	17
Gamma_4	1	0.249125628141	-0.00388296154506	18
Gamma_4	1	0.243859296482	-0.0110981313303	19
Gamma_4	1	0.240412060302	-0.0155095301421	20
Gamma_4	1	0.235778894472	-0.0218040102463	21
Gamma_4	1	0.232020100503	-0.0267267457581	22
Gamma_4	1	0.229703517588	-0.0300746231442	23
Gamma_4	1	0.225050251256	-0.0361806381315	24
Gamma_4	1	0.223442211055	-0.0382234084923	25
Gamma_4	1	0.220376884422	-0.0425939687315	26
Gamma_4	1	0.217768844221	-0.0460095259076	27
Gamma_4	1	0.215371859296	-0.0492690368023	28
